Produs,MarimeaPortiei,Categorie
Egg McMuffin,4.8 oz (136 g),Breakfast
Egg White Delight,4.8 oz (135 g),Breakfast
Sausage McMuffin,3.9 oz (111 g),Breakfast
Sausage McMuffin with Egg,5.7 oz (161 g),Breakfast
Sausage McMuffin with Egg Whites,5.7 oz (161 g),Breakfast
Big Mac,7.4 oz (211 g),Beef & Pork
Quarter Pounder with Cheese,7.1 oz (202 g),Beef & Pork
Quarter Pounder with Bacon & Cheese,8 oz (227 g),Beef & Pork
Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),Beef & Pork
Quarter Pounder Deluxe,8.6 oz (244 g),Beef & Pork
Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),Chicken & Fish
Premium Grilled Chicken Classic Sandwich,7 oz (200 g),Chicken & Fish
Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),Chicken & Fish
Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),Chicken & Fish
Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),Chicken & Fish
Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),Salads
Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),Salads
Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),Salads
Premium Southwest Salad (without Chicken),8.1 oz (230 g),Salads
Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),Salads
Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),Snacks & Sides
Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),Snacks & Sides
Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),Snacks & Sides
Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),Snacks & Sides
Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),Snacks & Sides
Baked Apple Pie,2.7 oz (77 g),Desserts
Chocolate Chip Cookie,1 cookie (33 g),Desserts
Oatmeal Raisin Cookie,1 cookie (33 g),Desserts
Kids Ice Cream Cone,1 oz (29 g),Desserts
Hot Fudge Sundae,6.3 oz (179 g),Desserts
Coca-Cola Classic (Small),16 fl oz cup,Beverages
Coca-Cola Classic (Medium),21 fl oz cup,Beverages
Coca-Cola Classic (Large),30 fl oz cup,Beverages
Coca-Cola Classic (Child),12 fl oz cup,Beverages
Diet Coke (Small),16 fl oz cup,Beverages
Iced Tea (Small),16 fl oz cup,Coffee & Tea
Iced Tea (Medium),21 fl oz cup,Coffee & Tea
Iced Tea (Large),30 fl oz cup,Coffee & Tea
Iced Tea (Child),12 fl oz cup,Coffee & Tea
Sweet Tea (Small),16 fl oz cup,Coffee & Tea
Blueberry Pomegranate Smoothie (Small),12 fl oz cup,Smoothies & Shakes
Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,Smoothies & Shakes
Blueberry Pomegranate Smoothie (Large),22 fl oz cup,Smoothies & Shakes
Strawberry Banana Smoothie (Small),12 fl oz cup,Smoothies & Shakes
Strawberry Banana Smoothie (Medium),16 fl oz cup,Smoothies & Shakes
