,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Caloriile (kCal),0.9433469311794556,0.2872902298897642,0.048106816315845305,0.10106531979687643,0.06547125266964669,0.08046441331437937,0.021727273308142146,-0.0015942914832291198,0.028043293368330852,0.054866906169913666
Proteine (g),0.9363144605782107,-0.14786768878720338,0.07686015808262624,-0.11696619626712593,0.05718060298225147,-0.18694011123332935,0.19215129539470757,0.037531555049651125,0.07189022928907707,-0.01210921121684402
Grasimi totale (g),0.9624829450655603,-0.033922691984632596,0.06621086120966144,0.14526220460479172,-0.08326979628345017,-0.014499541680966404,-0.06797850367999088,-0.18217342675257533,0.04258526519802016,-0.01500034420591693
Grasimi saturate(g),0.8374958803963272,0.1053466394353045,-0.1806271576626548,0.20722994606004058,-0.44495136029949417,-0.03341432809024043,-0.05433604324202801,0.09614813634663752,-0.02473701707515259,-0.005029429742547097
Grasimi nesaturate (g),0.10578418360600378,-0.17741648042451227,0.9607513452715633,-0.11794931471652022,-0.11376542916726363,0.07979884147838542,-0.015648618616194983,0.028034326824712335,-0.005347170831215158,-0.0028438940668527365
Colesterol (mg),0.5556087375883619,-0.2016941788956541,-0.23996971991177835,-0.7593012940056184,-0.07766409128603531,0.09349048385717602,-0.040444706674657896,-0.007247161708278835,-0.005682074074964803,0.0013054111146111327
Carbohidrati totali (g),0.6036077033040581,0.7276163907092095,-0.05044791862967681,0.08689166564815225,0.17566713149205,0.247521720247999,0.022499880401170746,0.047402305305560555,0.02022557780498276,-0.02913304283899504
Zaharuri totale (g),-0.19279624596082764,0.9380085056010468,0.08167579359281586,-0.14133560587415406,-0.14611134451760838,-0.05028362189412099,0.12123049510155719,-0.069191506428842,-0.11383032811779685,0.002086500724063852
Zaharuri adaugate (g),-0.24739009856213254,0.9111909896902741,0.11982081093642992,-0.18314867631868917,0.03885952090731811,-0.17618940955012669,-0.13705585742961549,0.02911252555721544,0.09188418354660421,0.0011551108359441921
Sodiu (mg),0.9241555190890495,-0.09764684533180813,0.08411785298765267,0.01098932395976344,0.29008613019920004,-0.13201762339207515,-0.09680600131614835,0.029744636173043678,-0.13172819534009808,-0.004244191579627724
